followers_count,following_count,tweet_like_count,tweet_retweet_count,tweet_reply_count
258,445,1,0,1
63,398,0,0,0
217,662,2,0,0
578,367,0,1,0
231,338,2,0,0
1148,259,0,0,0
1064,2322,0,0,0
170,190,1,0,0
2,45,0,0,0
17205,939,28,0,6
451,538,1,0,0
597,719,1,0,0
1361,623,1,1,1
4054,3060,0,0,0
53,38,0,0,0
4818,2446,1,0,0
26,165,0,0,0
1,10,0,0,0
186,236,6,0,2
56,121,4,0,0
3,45,0,0,0
31,63,0,0,0
16508,11870,1,0,1
972,356,2,0,0
4,16,0,0,0
35,91,0,0,0
75,101,1,0,0
51,226,0,0,0
952,3433,5,0,1
2,22,0,0,0
229,569,0,0,1
1396,725,3,0,0
9,224,0,0,1
20,202,0,0,0
724,406,1,0,1
129,1850,4,0,0
929,774,4,0,0
575,1,1,0,0
1368,2344,3,0,1
903,56,0,0,0
164,743,0,0,0
105,165,2,0,1
2874,4979,1,0,0
82,184,1,0,0
99,351,0,0,0
89,447,0,0,0
930,1579,1,0,0
359,660,1,0,0
207,589,24,4,1
694,954,7,0,0
327,876,14,0,3
66,175,0,0,0
93,684,1,0,3
203,701,3,0,0
72,100,0,0,0
359,660,2,0,0
25007,8049,9,2,0
829,307,1,0,0
1,34,1,0,0
89,171,1,0,0
968,560,0,0,0
162,162,0,0,0
28,209,0,0,0
3878,253,13,5,0
49,38,6,0,1
27,130,0,0,0
5,49,3,0,0
67299,827,23,5,1
538,115,1,0,1
450,671,1,0,0
266,1002,2,0,1
1587,3002,7,0,0
63,72,2,1,0
222,384,6,0,2
2,1,3,0,0
832,1691,1,0,1
28,91,0,0,0
56,121,1,0,0
726,3553,2,0,0
154,227,14,4,0
506,990,2,0,0
6673,1300,4,0,0
25,251,0,0,0
2423,215,11,3,0
552,962,0,0,0
425,704,1,0,1
1011,3450,61,0,2
84,1018,0,0,0
1977,1542,0,0,0
5,45,0,0,0
2130,4984,1,0,0
622,1354,4,0,0
52,749,12,1,0
4676,4166,58,2,0
4942,4957,1,3,0
9203,2669,5,3,0
1624,1264,0,0,0
5855,5081,8,0,2
5,41,0,0,2
462,1197,0,0,0
1184,1030,3,0,1
17,98,0,0,0
469,926,0,0,0
51,427,1,0,0
142,405,1,0,0
477,1097,3,0,0
511,1418,4,0,0
